其它频道,#genre#
九画面,http://220.167.170.144:4000/rtp/239.120.1.131:8268$青海电信
卫视频道,#genre#
青海卫视,http://220.167.170.144:4000/rtp/239.120.1.64:8332$青海电信
安多卫视,http://220.167.170.144:4000/rtp/239.120.1.40:8214$青海电信
甘肃卫视,http://220.167.170.144:4000/rtp/239.120.1.118:8700$青海电信
东方卫视,http://220.167.170.144:4000/rtp/239.120.1.121:8784$青海电信
北京卫视,http://220.167.170.144:4000/rtp/239.120.1.122:8790$青海电信
黑龙江卫视,http://220.167.170.144:4000/rtp/239.120.1.124:8802$青海电信
江苏卫视,http://220.167.170.144:4000/rtp/239.120.1.125:8808$青海电信
广东卫视,http://220.167.170.144:4000/rtp/239.120.1.126:8814$青海电信
湖南卫视,http://220.167.170.144:4000/rtp/239.120.1.127:8820$青海电信
浙江卫视,http://220.167.170.144:4000/rtp/239.120.1.128:8826$青海电信
湖北卫视,http://220.167.170.144:4000/rtp/239.120.1.129:8832$青海电信
深圳卫视,http://220.167.170.144:4000/rtp/239.120.1.137:8880$青海电信
贵州卫视,http://220.167.170.144:4000/rtp/239.120.1.142:8910$青海电信
重庆卫视,http://220.167.170.144:4000/rtp/239.120.1.146:8934$青海电信
四川卫视,http://220.167.170.144:4000/rtp/239.120.1.147:8940$青海电信
河南卫视,http://220.167.170.144:4000/rtp/239.120.1.148:8946$青海电信
吉林卫视,http://220.167.170.144:4000/rtp/239.120.1.151:8964$青海电信
广西卫视,http://220.167.170.144:4000/rtp/239.120.1.155:8988$青海电信
山东卫视,http://220.167.170.144:4000/rtp/239.120.1.211:9294$青海电信
河北卫视,http://220.167.170.144:4000/rtp/239.120.1.212:9300$青海电信
安徽卫视,http://220.167.170.144:4000/rtp/239.120.1.226:9348$青海电信
江西卫视,http://220.167.170.144:4000/rtp/239.120.1.228:9356$青海电信
辽宁卫视,http://220.167.170.144:4000/rtp/239.120.1.229:9360$青海电信
东南卫视,http://220.167.170.144:4000/rtp/239.120.1.232:9372$青海电信
天津卫视,http://220.167.170.144:4000/rtp/239.120.1.233:9514$青海电信
北京卫视4K超高清,http://220.167.170.144:4000/rtp/239.120.1.111:8254$青海电信
陕西卫视,http://220.167.170.144:4000/rtp/239.120.1.117:8694$青海电信
宁夏卫视,http://220.167.170.144:4000/rtp/239.120.1.130:8838$青海电信
新疆卫视,http://220.167.170.144:4000/rtp/239.120.1.134:8862$青海电信
内蒙古卫视,http://220.167.170.144:4000/rtp/239.120.1.135:8868$青海电信
西藏卫视,http://220.167.170.144:4000/rtp/239.120.1.136:8874$青海电信
海南卫视,http://220.167.170.144:4000/rtp/239.120.1.141:8904$青海电信
山西卫视,http://220.167.170.144:4000/rtp/239.120.1.143:8916$青海电信
云南卫视,http://220.167.170.144:4000/rtp/239.120.1.156:8994$青海电信
延边卫视,http://220.167.170.144:4000/rtp/239.120.1.132:8354$青海电信
兵团卫视,http://220.167.170.144:4000/rtp/239.120.1.240:9404$青海电信
山东教育卫视,http://220.167.170.144:4000/rtp/239.120.1.177:8272$青海电信
☘️青海省,#genre#
青海都市,http://220.167.170.144:4000/rtp/239.120.1.41:8220$青海电信
青海经视,http://220.167.170.144:4000/rtp/239.120.1.42:8226$青海电信
海东综合频道,http://220.167.170.144:4000/rtp/239.120.1.102:8328$青海电信
海北电视台,http://220.167.170.144:4000/rtp/239.120.1.123:8266$青海电信
海西电视台,http://220.167.170.144:4000/rtp/239.120.1.184:9160$青海电信
西宁生活服务,http://220.167.170.144:4000/rtp/239.120.1.248:9440$青海电信
久治,http://220.167.170.144:4000/rtp/239.120.1.34:9534$青海电信
青海油田,http://220.167.170.144:4000/rtp/239.120.1.144:8416$青海电信
矿区生活,http://220.167.170.144:4000/rtp/239.120.1.145:8420$青海电信
☘️上海市,#genre#
西宁新闻综合,http://220.167.170.144:4000/rtp/239.120.1.249:9444$青海电信
上海游戏风云,http://220.167.170.144:4000/rtp/239.120.1.215:9312$青海电信
上海东方财经,http://220.167.170.144:4000/rtp/239.120.1.55:8304$青海电信
央视频道,#genre#
CCTV-1综合,http://220.167.170.144:4000/rtp/239.120.1.119:8260$青海电信
CCTV-2财经,http://220.167.170.144:4000/rtp/239.120.1.223:9484$青海电信
CCTV-3综艺,http://220.167.170.144:4000/rtp/239.120.1.88:9420$青海电信
CCTV-4中文国际,http://220.167.170.144:4000/rtp/239.120.1.159:9012$青海电信
CCTV-5体育,http://220.167.170.144:4000/rtp/239.120.1.46:8248$青海电信
CCTV-6电影,http://220.167.170.144:4000/rtp/239.120.1.49:8252$青海电信
CCTV-7国防军事,http://220.167.170.144:4000/rtp/239.120.1.224:9490$青海电信
CCTV-8电视剧,http://220.167.170.144:4000/rtp/239.120.1.50:8308$青海电信
CCTV-9纪录,http://220.167.170.144:4000/rtp/239.120.1.227:9496$青海电信
CCTV-10科教,http://220.167.170.144:4000/rtp/239.120.1.250:9448$青海电信
CCTV-11戏曲,http://220.167.170.144:4000/rtp/239.120.1.163:9036$青海电信
CCTV-12社会与法,http://220.167.170.144:4000/rtp/239.120.1.230:9502$青海电信
CCTV-13新闻,http://220.167.170.144:4000/rtp/239.120.1.165:9048$青海电信
CCTV-14少儿,http://220.167.170.144:4000/rtp/239.120.1.193:8284$青海电信
CCTV-15音乐,http://220.167.170.144:4000/rtp/239.120.1.167:9060$青海电信
CCTV-16奥林匹克,http://220.167.170.144:4000/rtp/239.120.1.252:9554$青海电信
CCTV-17农业农村,http://220.167.170.144:4000/rtp/239.120.1.68:8370$青海电信
CCTV-5+体育赛事,http://220.167.170.144:4000/rtp/239.120.1.245:9428$青海电信
CETV1,http://220.167.170.144:4000/rtp/239.120.1.133:8856$青海电信
CETV2,http://220.167.170.144:4000/rtp/239.120.1.44:8238$青海电信
CETV4,http://220.167.170.144:4000/rtp/239.120.1.45:8244$青海电信
CGTN英语,http://220.167.170.144:4000/rtp/239.120.1.161:9024$青海电信
中国天气,http://220.167.170.144:4000/rtp/239.120.1.241:9408$青海电信
数字频道,#genre#
上海欢笑剧场,http://220.167.170.144:4000/rtp/239.120.1.216:9316$青海电信
上海乐游频道,http://220.167.170.144:4000/rtp/239.120.1.217:9320$青海电信
上海动漫秀场,http://220.167.170.144:4000/rtp/239.120.1.219:9328$青海电信
上海生活时尚,http://220.167.170.144:4000/rtp/239.120.1.220:9332$青海电信
上海都市剧场,http://220.167.170.144:4000/rtp/239.120.1.221:9336$青海电信
上海法治天地,http://220.167.170.144:4000/rtp/239.120.1.54:8298$青海电信
上海金色学堂,http://220.167.170.144:4000/rtp/239.120.1.69:8374$青海电信
金鹰纪实,http://220.167.170.144:4000/rtp/239.120.1.73:8412$青海电信
快乐垂钓,http://220.167.170.144:4000/rtp/239.120.1.225:9346$青海电信
哈哈炫动,http://220.167.170.144:4000/rtp/239.120.1.140:8898$青海电信
金鹰卡通,http://220.167.170.144:4000/rtp/239.120.1.139:8892$青海电信
卡酷少儿,http://220.167.170.144:4000/rtp/239.120.1.138:8886$青海电信
嘉佳卡通,http://220.167.170.144:4000/rtp/239.120.1.108:8640$青海电信
天元围棋,http://220.167.170.144:4000/rtp/239.120.1.59:8320$青海电信
